Height,Zenith,analog-p,analog-s,photon-p,photon-s
0.00375,90,5.285928888051165,4.93564193141639,3.660565723793677,0.7653910149750416
0.0075,90,5.287919385659317,4.941958714642262,4.026622296173045,0.7653910149750416
0.01125,90,5.293708077683028,4.947442738664725,3.3943427620632276,0.46589018302828616
0.015,90,5.287350672056988,4.945005394654741,2.762063227953411,0.6988352745424292
0.01875,90,5.279957395226705,4.9400697730345255,3.594009983361065,0.6988352745424293
0.0225,90,5.270857977589434,4.932859297004992,3.494176372712146,0.8652246256239601
0.02625,90,5.27006584078619,4.937063715422212,2.8286189683860234,0.8985024958402661
0.03,90,5.279957395226706,4.939419814631863,2.7287853577371046,0.9983361064891846
0.03375,90,5.291453534473794,4.943827345049916,2.59567387687188,0.7321131447587355
0.0375,90,5.299943616108569,4.945980332258735,2.5291181364392674,1.0316139767054908
0.04125,90,5.297079736896839,4.944436681052412,2.928452579034942,0.86522462562396
0.045,90,5.292611272878535,4.9423040050436775,2.6955074875207985,1.064891846921797
0.04875,90,5.284446170445092,4.941714980241264,2.8618968386023296,1.0316139767054908
0.0525,90,5.280587042429284,4.941755602641431,2.396006655574043,0.7321131447587355
0.05625,90,5.2831056312396,4.942649295445092,2.795341098169717,0.8319467554076538
0.06,90,5.2836743448419305,4.94136968983985,3.5940099833610644,1.064891846921797
0.06375,90,5.286639780054076,4.938993279430116,3.3277870216306153,0.86522462562396
0.0675,90,5.285969510451331,4.940719731437188,3.7271214642262893,1.0316139767054908
0.07125,90,5.286314800852745,4.945228817855657,4.059900166389351,0.9983361064891847
0.075,90,5.286436668053244,4.942568050644759,2.995008319467554,0.632279534109817
0.07875,90,5.283532166441347,4.939765105033278,3.261231281198003,0.6655574043261231
0.0825,90,5.278657478421381,4.935621620216306,2.2628951747088184,0.7321131447587355
0.08625,90,5.277540362416805,4.936007533017886,2.6289517470881862,0.7653910149750416
0.09,90,5.283511855241264,4.940232262635191,3.1613976705490847,0.9650582362728785
0.09375,90,5.290275484868968,4.945370996256239,3.627287853577371,0.5324459234608985
